z,ra,dec
  0.075645,206.61445,-2.912953
  0.075649,207.12297,-1.5303252
  0.075655,179.71437,5.1030132
  0.075664,358.87201,-9.1213044
  0.075664,358.80479,-9.3298436
  0.075671,176.61704,2.3783594
  0.075672,175.8283,0.7478817
  0.075681,232.02156,2.900905
  0.075683,230.73301,9.1991908
  0.075689,228.13194,5.3150098
  0.075691,62.16231,-5.6594058
  0.075725,329.27948,-8.9491409
  0.075742,229.94716,7.7626391
  0.075745,177.5975,7.4239415
  0.075746,35.662311,-8.4461312
  0.075749,142.78771,9.9139544
  0.075750,203.55784,2.3420431
  0.075750,179.21376,4.9588275
  0.075756,139.05382,6.7479838
  0.075768,230.77512,9.405335
  0.075774,231.14506,9.5302185
  0.075776,184.59288,4.8688901
  0.075782,174.6511,-1.6205776
  0.075787,229.96376,8.5788881
  0.075805,178.73687,6.2775844
  0.075806,178.15956,4.3674471
  0.075806,227.69979,5.7575551
  0.075812,160.53982,4.7185779
  0.075822,184.66546,5.0003892
  0.075833,205.53889,1.9808152
  0.075836,205.54886,2.224488
  0.075836,179.31963,5.1855147
  0.075840,231.23633,8.4354871
  0.075842,174.5865,1.6662012
  0.075846,189.66795,1.7996126
  0.075848,326.10609,-0.26409372
  0.075852,12.036533,-9.7774911
  0.075854,227.53793,8.3910085
  0.075864,230.77292,8.7383385
  0.075873,200.28479,-3.432996
  0.075880,162.03345,0.38056018
  0.075892,227.67946,8.0194405
  0.075892,169.00093,0.15019357
  0.075893,183.00551,3.1359687
  0.075900,178.46741,-1.9749368
  0.075901,165.08354,5.8089373
  0.075905,208.25583,-2.688959
  0.075910,205.33647,2.3482955
  0.075910,358.79359,-9.1555956
  0.075915,170.93001,0.98587643
  0.075918,143.00103,9.7645123
  0.075923,178.00354,5.0548583
  0.075939,188.46036,1.8793049
  0.075940,167.46242,5.2053957
  0.075943,137.92302,3.6953354
  0.075945,237.19943,8.7756656
  0.075947,183.82603,-1.1098525
  0.075968,206.30984,-0.92732377
  0.075968,227.46907,7.4840219
  0.075975,168.303,2.4848125
  0.075982,142.92275,9.985055
  0.075995,230.75451,8.8502242
  0.075998,143.04628,9.6892407
  0.076004,182.31763,5.5924476
  0.076027,238.15607,4.5184834
  0.076043,149.99906,-0.86914128
  0.070899,52.442732,0.9818491
  0.070911,160.98143,4.2663843
  0.070915,357.89786,0.9042105
